Beta 1=    4.00000E-01
Beta 2=    5.50000E-01
Beta 3=    4.75000E-01
SATISFAZ

              x01= 0.000E+00; x02= 0.000E+00; x03= 0.000E+00; 
d= 1.000E+00; x01= 1.000E+00; x02= 7.500E-01; x03=-8.750E-01; 
d= 1.951E-01; x01= 1.025E+00; x02= 9.500E-01; x03=-9.875E-01; 
d= 4.094E-02; x01= 1.007E+00; x02= 9.913E-01; x03=-9.994E-01; 
d= 7.363E-03; x01= 1.002E+00; x02= 9.986E-01; x03=-1.000E+00; 
d= 1.325E-03; x01= 1.000E+00; x02= 9.998E-01; x03=-1.000E+00; 
d= 2.506E-04; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 4.206E-05; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 6.353E-06; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 8.544E-07; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 9.748E-08; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 8.599E-09; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 2.114E-09; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 4.193E-10; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 7.292E-11; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 1.367E-11; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 2.507E-12; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 4.103E-13; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 6.017E-14; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 7.994E-15; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 6.661E-16; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 2.220E-16; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
d= 0.000E+00; x01= 1.000E+00; x02= 1.000E+00; x03=-1.000E+00; 
